THEMATIQUE,MODELE,CODE CHAP,CODE SS FONT,CODE ART
URBANISME,PERSONNEL,12,823,6331
URBANISME,PERSONNEL,12,823,6332
URBANISME,PERSONNEL,12,823,6336
URBANISME,PERSONNEL,12,823,64111
URBANISME,PERSONNEL,12,823,64112
URBANISME,PERSONNEL,12,823,64118
URBANISME,PERSONNEL,12,823,64131
URBANISME,PERSONNEL,12,823,6451
URBANISME,PERSONNEL,12,823,6453
URBANISME,PERSONNEL,12,823,6454
URBANISME,PERSONNEL,12,823,6458
URBANISME,PERSONNEL,12,823,6478
URBANISME,PERSONNEL,12,823,64832
URBANISME,PERSONNEL,12,823,6488
URBANISME,GENERAL,11,823,6042
URBANISME,GENERAL,11,823,60611
URBANISME,GENERAL,11,823,60621
URBANISME,GENERAL,11,823,60623
URBANISME,GENERAL,11,823,60624
URBANISME,GENERAL,11,823,60628
URBANISME,GENERAL,11,823,60631
URBANISME,GENERAL,11,823,60632
URBANISME,GENERAL,11,823,60633
URBANISME,GENERAL,11,823,60636
URBANISME,GENERAL,11,823,6064
URBANISME,GENERAL,11,823,6065
URBANISME,GENERAL,11,823,6068
URBANISME,GENERAL,11,823,611
URBANISME,GENERAL,11,823,6135
URBANISME,GENERAL,11,823,61521
URBANISME,GENERAL,11,823,61522
URBANISME,GENERAL,11,823,61523
URBANISME,GENERAL,11,823,61524
URBANISME,GENERAL,11,823,61551
URBANISME,GENERAL,11,823,61558
URBANISME,GENERAL,11,823,6156
URBANISME,GENERAL,11,823,616
URBANISME,GENERAL,11,823,617
URBANISME,GENERAL,11,823,6184
URBANISME,GENERAL,11,823,6185
URBANISME,GENERAL,11,823,6226
URBANISME,GENERAL,11,823,6232
URBANISME,GENERAL,11,823,6233
URBANISME,GENERAL,11,823,6236
URBANISME,GENERAL,11,823,6238
URBANISME,GENERAL,11,823,6241
URBANISME,GENERAL,11,823,6244
URBANISME,GENERAL,11,823,6247
URBANISME,GENERAL,11,823,6248
URBANISME,GENERAL,11,823,6251
URBANISME,GENERAL,11,823,6257
URBANISME,GENERAL,11,823,6281
URBANISME,GENERAL,11,823,6282
URBANISME,GENERAL,11,823,6283
URBANISME,GENERAL,11,823,6288
URBANISME,GENERAL,11,823,6355
URBANISME,GENERAL,11,823,637
URBANISME,IMMOBILISATION INCORPORELES,20,823,2031
URBANISME,IMMOBILISATION INCORPORELES,20,823,205
URBANISME,SUBVENTIONS D'EQUIPEMENT VERSEES,204,823,2042
URBANISME,IMMOBILISATIONS CORPORELLES,21,822,2158
URBANISME,IMMOBILISATIONS CORPORELLES,21,823,2113
URBANISME,IMMOBILISATIONS CORPORELLES,21,823,2183
URBANISME,IMMOBILISATIONS CORPORELLES,21,823,2184
URBANISME,IMMOBILISATIONS CORPORELLES,21,823,2185
URBANISME,IMMOBILISATIONS CORPORELLES,21,823,2188
URBANISME,IMMOBILISATIONS EN COURS,23,823,2313
URBANISME,IMMOBILISATIONS EN COURS,23,823,2318
URBANISME,IMMOBILISATIONS EN COURS,23,823,237
URBANISME,AUTRES,65,823,65737
URBANISME,AUTRES,65,823,6574
URBANISME,EXEPTIONNELES,67,823,678
URBANISME,GENERAL,11,823,6042
URBANISME,GENERAL,11,823,60611
URBANISME,GENERAL,11,823,60624
URBANISME,GENERAL,11,823,60631
URBANISME,GENERAL,11,823,60632
URBANISME,GENERAL,11,823,60633
URBANISME,GENERAL,11,823,60636
URBANISME,GENERAL,11,823,6064
URBANISME,GENERAL,11,823,6068
URBANISME,GENERAL,11,823,611
URBANISME,GENERAL,11,823,6135
URBANISME,GENERAL,11,823,61521
URBANISME,GENERAL,11,823,61524
URBANISME,GENERAL,11,823,61558
URBANISME,GENERAL,11,823,6184
URBANISME,GENERAL,11,823,6236
URBANISME,GENERAL,11,823,6283
URBANISME,PERSONNEL,12,823,6331
URBANISME,PERSONNEL,12,823,6332
URBANISME,PERSONNEL,12,823,6336
URBANISME,PERSONNEL,12,823,64111
URBANISME,PERSONNEL,12,823,64112
URBANISME,PERSONNEL,12,823,64118
URBANISME,PERSONNEL,12,823,64131
URBANISME,PERSONNEL,12,823,6451
URBANISME,PERSONNEL,12,823,6453
URBANISME,PERSONNEL,12,823,6454
URBANISME,PERSONNEL,12,823,6478
URBANISME,PERSONNEL,12,823,64832
URBANISME,PERSONNEL,12,823,6488
URBANISME,IMMOBILISATIONS INCORPORELLES,20,823,2031
URBANISME,IMMOBILISATIONS CORPORELLES,21,823,2188
URBANISME,IMMOBILISATIONS EN COURS,23,823,2313
URBANISME,IMMOBILISATIONS EN COURS,23,823,2318
URBANISME,GENERAL,26,26,6042
URBANISME,GENERAL,26,26,611
URBANISME,GENERAL,26,26,6135
URBANISME,GENERAL,26,26,6288
URBANISME,IMMOBILISATIONS CORPORELLES,26,26,2188
URBANISME,IMMOBILISATIONS EN COURS,26,26,2313
URBANISME,IMMOBILISATIONS EN COURS,26,26,2318
URBANISME,SUBVENTIONS D'INVESTISSEMENT,13,824,1343
URBANISME,SUBVENTIONS D'EQUIPEMENT VERSEES,204,824,2042
URBANISME,IMMOBILISATIONS CORPORELLES,21,824,2111
URBANISME,IMMOBILISATIONS EN COURS,23,824,237
URBANISME,PERSONNEL,11,112,6042
URBANISME,PERSONNEL,11,112,60636
URBANISME,GENERAL,11,110,6042
URBANISME,GENERAL,11,110,60636
URBANISME,GENERAL,11,110,611
URBANISME,GENERAL,11,110,6236
URBANISME,PERSONNEL,12,110,6331
URBANISME,PERSONNEL,12,110,6332
URBANISME,PERSONNEL,12,110,6336
URBANISME,PERSONNEL,12,110,64111
URBANISME,PERSONNEL,12,110,64112
URBANISME,PERSONNEL,12,110,64118
URBANISME,PERSONNEL,12,110,64131
URBANISME,PERSONNEL,12,110,6451
URBANISME,PERSONNEL,12,110,6453
URBANISME,PERSONNEL,12,110,6454
URBANISME,PERSONNEL,12,110,6478
URBANISME,PERSONNEL,12,110,64832
URBANISME,PERSONNEL,12,110,6488
URBANISME,IMMOBILISATIONS CORPORELLES,21,110,2188
URBANISME,IMMOBILISATIONS EN COURS,23,110,2313
URBANISME,IMMOBILISATIONS CORPORELLES,21,822,2158
